character,frequency
a,0.09442369266881652
b,0.006661476790987779
c,0.02446264128127476
d,0.03697643242818684
e,0.09145621829877075
f,0.0071986002880749175
g,0.009144599127102727
h,0.008333800367600286
i,0.049266865289181484
j,0.0019689073811731874
k,0.00032767396890083587
l,0.02232846513176707
m,0.03478784849108387
n,0.03763791658263459
o,0.08059347851076476
p,0.019901386907686346
q,0.008098987810610173
r,0.052052707646503195
s,0.059151492143801825
t,0.03446099268440252
u,0.032889303060785774
v,0.011691129035227201
w,0.0002785842357321713
x,0.0015925527602134257
y,0.000616485232376479
z,0.004069538879682292
A,0.002529348501515441
B,0.0011765172716089937
C,0.0017925934228757339
D,0.0011233367273429404
E,0.0024135785474593404
F,0.0009061146580715998
G,0.0007891174606862826
H,0.0004217626241407763
I,0.0005858041491460637
J,0.0005093059816248947
K,9.24523308009849e-05
L,0.0007093466442872027
M,0.0015205544848993845
N,0.0012910599823358778
O,0.0014947823749858356
P,0.001890772889213063
Q,0.00037349105319158947
R,0.0009834309878122465
S,0.0017042319031721376
T,0.0017492308252434136
U,0.00032399223891318605
V,0.0013160139300299489
W,0.00027531158685426037
X,6.627113977769714e-05
Y,4.049902986414826e-05
Z,4.336259763232035e-05
 ,0.16647555760823365
"
",0.013522994244637867
",",0.014701966002905294
.,0.010395160079574457
!,0.00044753473405432517
?,0.0004663524651023132
;,0.00048435203393082355
:,0.0008431161671718137
"""",2.290854214537679e-05
',0.0004070357041901769
`,0.0
´,0.0002556756935867945
-,0.003571687169130085
_,0.001204334787071237
=,4.499892207127584e-06
+,0.00010758833186132314
*,3.968086764467051e-05
%,4.0908110973887125e-06
#,1.1454271072688395e-05
$,5.645319314396423e-05
@,1.2272433292166137e-06
&,8.999784414255167e-06
^,2.863567768172099e-06
~,0.0
|,4.0908110973887124e-07
\,0.0
<,1.1454271072688395e-05
>,1.1454271072688395e-05
/,8.67251952646407e-05
{,0.0
},0.0
[,7.077103198482473e-05
],7.077103198482473e-05
(,0.0002217219614784682
),0.0002217219614784682
ª,0.0009482500123747036
º,0.0006516662078140219
0,0.0008361617883062528
1,0.0011192459162455517
2,0.0005858041491460637
3,0.00036367310655785657
4,0.0003391282399735243
5,0.0004413985174082421
6,0.000368582079874723
7,0.00037349105319158947
8,0.0003853544053740167
9,0.0005968493391090132
à,0.0
á,0.0
â,0.0013802396642589516
ã,0.0
ç,0.0
è,0.0
é,0.0
ê,0.0
ì,0.0
í,0.0
î,0.0
ò,0.0
ó,0.0
ô,0.0
õ,0.0
ù,0.0
ú,0.0
À,0.0
Á,0.0
Â,0.0007621181074435172
Ã,0.020623415066375456
Ç,0.0
È,0.0
É,0.0
Ê,0.0
Ì,0.0
Í,0.0
Î,0.0
Ò,0.0
Ó,0.0
Ô,0.0
Õ,0.0
Ù,0.0
Ú,0.0
Û,0.0
